S.No,comments ,Label
HATE_1585,Ee video chusintarvatha mee meeda respect perigindi,non-hate
HATE_1586,EE Ammai Chala Bagundhi.Pade Pade Chudaalinipistundhi,non-hate
HATE_1587,Good and Gita Krishna Garu is good. Interview,non-hate
HATE_1588,Do not ask any hero to reduce the remuneration of any hero,hate
HATE_1589,Tickets Rates Thagginchaali..Appudey Janaalu Theater Ki Vastaaru .. AYI,hate
HATE_1590,Hero lu Remuneration Taggisthe Dil Raju Rates Penchi Collections,hate
HATE_1591,Telugu Cinema lu Content Takuva Buildup Ekuva. Free ga download chesi chustam free ga,hate
HATE_1592,First Ganesh Anna Chesina Appulu and Bounce Iyna Check lu Clear Cheyi,hate
HATE_1593,Bandla Garu Miru Cheppindhi Correct Ithe Condom Ni 10k Pettava Dhenikaina Oka Limit Untadhi Bandla Garu,hate
HATE_1594,"100% Literacy Rate Unna Kerala Lo Ne Janalelu Gorrelu La Unte, Migilin Rashtrallo Unna Janalu Paristhiti Emito ...",hate
HATE_1595,Those who have done such injustice to Nambi Narayanan,hate
HATE_1596,A very good movie ... You are supposed to be reacting ..,non-hate
HATE_1597,"""Nambi Narayana"" is very distressing to see the injustice, ""Nambi Narayana"" is our heartfelt ""Padabhi Greetings"" to the sacrifice of Gary",non-hate
HATE_1598,Kalyan Dilip Sunkara Garu explained very well. Thank you.,non-hate
HATE_1599,Well read and write .. Our wives in the middle of,hate
HATE_1600,Allu Arjun Cinema Ki Pranam Esatadu,non-hate
HATE_1601,Allu Arjun has somewhere in the multitalent Allu Arjun,non-hate
HATE_1602,Pawan Kalyan's name is a sleeping fight for some people like that,non-hate
HATE_1603,Ganesh spoke as a corrective ... Hotsop in this regard,non-hate
HATE_1604,Sir Arun Kumar Garu Meeku Hrudayapurvaka Namaskaramulu.Sir Nenu Kuda Kuda Kapil Chit Lo Chit One l .. Vesanu .chit Purti Ayipoyindi.Nene Du.amont adigite danilone fixed deposit cheyyamantunnaru. Consumer Court,non-hate
HATE_1605,More than 1 crore deposits in Margadarsi… not even one depositor complain…. Nekenduku ra… go and talk about Babai,hate
HATE_1606,Soolu Master of AP .... Goda Meda Pilli ...,hate
HATE_1607,DRAMOJI PEDDA 420. AP Ni Nasamchesina Vallalo Veedu No. 1,hate
HATE_1608,Nee knoldge Motham Okka Kulam Okka Partini Meeda Padi Edavadanikee Saripoindi ... Durmargula Panini Divert Chiiyadamkosam Screen Meedaki Osthavu ..... Karma .. Nuvve Alochinchuko Undavalli ...,hate
HATE_1609,Rajasekhar Reddy Garu Kadapa Lo 500 Acres Thesukoni Assembly Lo Gola Zarigina Tharuvatha Assined Lands Return Echharugada,hate
HATE_1610,Vaalla chetilo vunnadi atyunnata vyavasta. VEELLU ASALE BROKERS. Inka vadakam ela vuntundo chuseru ga,hate
HATE_1611,Mari Neethulu Endhuku Ra Yadhava .... Collection Chasukoni Galichanu Anavu ...,hate
HATE_1612,Surely you Rajasekhar Reddy has planned to hurt Ramoji financially,hate
HATE_1613,ne okkadiki nyayam jarigindi kaabatti ysr neku devudu nuvu o pathi wrathavi,hate
HATE_1614,Sollu Apara Re Nee Bochu Telivi Tetalu Andhra Pradesh Bagu Kosam Cheyyara,hate
HATE_1615,"Siggu, neethi leni",hate
HATE_1616,The words you have spoken have 100 PERCENT TRUE ..,non-hate
HATE_1617,Jagan Dobbindi Kanapadada Neeku Atineetimantuda,hate
HATE_1618,This video should be shared by the common man's weapon Dilip,non-hate
HATE_1619,After seeing Eidi ....,non-hate
HATE_1620,You are really the Legend,non-hate
HATE_1621,He counted half of the alien grown alien,hate
HATE_1622,Rey Troll Gallara is on your life,hate
HATE_1623,Comments Chadivi Masthu Enjoy Chesthunna Nenaithe,non-hate
HATE_1624,"This video has made us very entertained, but we know how Allu Arjun is in the first movie that is in the first movie that we know why we know how it is in Pushpa.",non-hate
HATE_1625,Baga kastapaddav bro edit ki. Good Keep IT UP,non-hate
HATE_1626,Deenemmaa dabbulu unte darinapoye danaya tho cinema tiyachu ani telisindi,hate
HATE_1627,Bro Vaadi Height Entha Bro .... Sampu Kante Comedy Ga Vunadu ...,hate
HATE_1628,Veedevado Grahahanthara Vasi Kappa La Vunnadu,hate
HATE_1629,EDI KANNA SAMPURNESH BABU MELU KADHA RA BABU Expression,hate
HATE_1630,"Asalu Aa Mukham Yendhayyaa, Kaneesam Manishi Laa Koodaa Ledhu ..... Nag, Mahesh, Akhil Tharuvaatha Antha Andhagaadini Anukunnaadaa Yendhi Saamy.",hate
HATE_1631,To Be Frankly Host Kante Chay Chala Humble Ga React Ayyaru,non-hate
HATE_1632,Police know all the uniforms of pride law make a mistake and fight on behalf of the people for advocate rights,hate
HATE_1633,"Knowledge is Divine, Hungered Perfect Butt Not Self -Estimated Wow Nice Quotes",non-hate
HATE_1634,Our good luck sir ..... thank you ..,non-hate
HATE_1635,"If they are like you, justice will be done to every common man. Salute sir",non-hate
HATE_1636,I will live with self -esteem I like it,non-hate
HATE_1637,All the words that apply to him are a great man who has put it through his mouth.,non-hate
HATE_1638,Muthy Garu Do you think people do not believe ……?,hate
HATE_1639,MP Gary has to hand over the phone and send it to the Forensic Lab,non-hate
HATE_1640,Home Minster 2000% Unfit ... The Willage Member Ki Ki More,hate
HATE_1641,The police are not brokers,hate
HATE_1642,Who is such a shameless SP .... IPS is a shame for the superior,hate
HATE_1643,"Fakirappa, who made a good name in Baabu Gaari Time",hate
HATE_1644,AP ... lo ... asalu..criminals..ku ... votlu vesi..na..ap ... janalaku..100%√ >> Sigguledhu..first..ap ... lo .. Undi .. YCP..Police..Station ... AP ... Lo..asalu .. Police..Varu..layru .... Next..2024..lo .. untundi..ap ... Police..Vari..ki ...,hate
HATE_1645,Asalu Criminals ku votlu vesi na Janalaku Sigguledhu first,hate
HATE_1646,How to speak the original MP,hate
HATE_1647,Bullitta Jabardast Kamalahasan Getup Sheenu Sudheer's lack of deficit,non-hate
HATE_1648,Really this Love Story is Sean Super by Bhai Shenanna Adi,non-hate
HATE_1649,Sreenu Anna is true you say ...,hate
HATE_1650,Getup srini Anna Superb ... Miru Ravadam Chala Santhosham,non-hate
HATE_1651,Comedy in the role of Yamadharma Raju getup Srinu Anna Yamadharma Raja,non-hate
HATE_1652,"Those who have seen the video without ""skip"" for our Harsha Sai Anna",non-hate
HATE_1653,"You are blue in history, bro hand of your help full to poor people.",non-hate
HATE_1654,Prajalu Question Cheyanantha varaku politicians mararu. Politics Marav. The Great Ap People,hate
HATE_1655,"If you have conspired and go viral, you have to file a case against you.",hate
HATE_1656,How many Harsha Sai Fans are here. A Man With Golden Heart,non-hate
HATE_1657,I couldn't stop tears if the farmer was happy,non-hate
HATE_1658,E Video Chusina Tarvata Ilani Manchi Manushulu Untara Ani Chala Santhosham Anipinchindi,non-hate
HATE_1659,He should be in the country like you ..... you are an inspiration for all ........ Jai Hind older brother,non-hate
HATE_1660,E 75kurma bharataswatantra desaniki nizamaina geept ichchavu. Anna Nuvvu ... Desamloni Prathivaadu Garvapadela Vundi ....,non-hate
HATE_1661,They will not be in this life in this life,non-hate
HATE_1662,Watching this video I have not stopped tears ... Harsha Brother Your God And Blessed.,non-hate
HATE_1663,Great Anna that you have done a great job that no one can do,non-hate
HATE_1664,"Ettaa Teesaru Bhayyaa ... Cinema Ni Writing, Performance, Music..Direction Everything Is Just Classic ... The Best Love Story Ive Watched Till No",non-hate
HATE_1665,Nag Sir La Natural Ga Evaru Matlada Leru ... Nag Sir Super,non-hate
HATE_1666,NUV Chesthe Cinema Appadam Aithadi Saaar,hate
HATE_1667,Nuvvu chesunte flop ayyedemonani naa doubt,hate
HATE_1668,"When the use of the time or because of you, the grandfather of the film, it is your character that is your character my and the cure deejay till I do not say that I can do it.",hate
HATE_1669,Itlanvi Why Do Meeru Rotta Cinemalu Matrame Chestaru Sir Meeru ... Any Way .. Ayina Meerante Naakistam Sir,hate
HATE_1670,Manchi pani Iyendi neku rakapovadam,hate
HATE_1671,NV will be utterflop,hate
HATE_1672,Em manishulu ra miru bhimbisara manchi movie petukoni ... e movie evaru chustaru ra nag,hate
HATE_1673,I drink how many people you say no matter how many children are drinking.,non-hate
HATE_1674,You really super sir what you talk about,non-hate
HATE_1675,A great man who talks about the drug with a media conference,non-hate
HATE_1676,"Sir ... you said very well ... If there is any leader who speaks to the public, it is you ... Hotsaf sir ...",non-hate
HATE_1677,The teacher is also shot in the chief Nikkar ...,hate
HATE_1678,E Rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar,non-hate
HATE_1679,Maa City Lo Every Lopala 3 Wines Vnayi Last 2 Years Nundi ... Licens Ela Padithe Alaa Evhesaru ...,hate
HATE_1680,Me Knowledge Ku Salute Sir Me Lanti Vallu,non-hate
HATE_1681,"You understand how to thank you for making such a good film .. This classic movie history lo does not stop
",non-hate
HATE_1682,Hanu is a very descent and dignified person unlike the arrogant petty giramouli. Hanu is very simple and down to Earth Person. Best Wishes to Him.,non-hate
HATE_1683,Geniune Banner and Andharu Chala Hardwork Chestharu.,non-hate
HATE_1684,Meeru Cheppindi Nijam Chesaru Hanu Garu ...,non-hate
HATE_1685,Em confident sir movie Eeroju Chusa Meeru Movie,non-hate
HATE_1686,Vishal Chandrashekhar aa BGM Endhira Saami Edipinchesaav,hate
HATE_1687,Hanu Raghavapudi Love Story Ante Super Immersive Ga untadi,non-hate
HATE_1688,Super Comidy Mi Cinima Hit Kavali,non-hate
HATE_1689,Ery Pappa La Tho Comedy Very Pappa La Uantadhi Dhodhu Dhodhey,hate
HATE_1690,The king always speaks like the king ... Jai RRR ...,non-hate
HATE_1691,"If you do not take action so far, all the rest of the universities are willing to become popular.",hate
HATE_1692,JC Diwakar Reddy says that something is said to be a uniform .....,hate
HATE_1693,YCP Vunnatha Varaku Andhrapradesh Paristhi Enka Diga Jaaripotaadi .... Vaalu Leaders Kaadu Maha Vedava Lu ...,hate
HATE_1694,Shem Gari Manasu Doche Untadu Goratla Madhavudu; Promotion Confirm Deputy Shem Poste,hate
HATE_1695,Goppa Goppollu ... AP Nundi Parliament Ki Vellaru ... Maa Telangana Chala Better ... Anna Maa Telangana Lo Dikkumalina Video Samskruthi Inka Rale ...,hate
HATE_1696,"Actually, our director is a like",non-hate
HATE_1697,There is no good medicine beyond laughter that we have found a good director.,non-hate
HATE_1698,Venu Swami's words are all lied.,hate
HATE_1699,Elanti Valanu Encourage Cheyadam Media Valu Tappu. Veeri mida government charyali tisukovali. Naku Telisi Jatakalu Emi Vundaavu Ani Medhavlu Chala Mandi Chepparu. Public nu chestunnaru.,non-hate
HATE_1700,Miru epudu chanipotharu swamy,hate
HATE_1701,Say someone who has laid sketch (if guts),hate
HATE_1702,Yogi Cinemaa Muhurtham Pettaduu ... Adi Flop Avuddani Teliyadu Raa Maidapindii,hate
HATE_1703,"Babu Gogineni Sir, Veedu Inka Marala Please Evarikina Choopinchandi Please",hate
HATE_1704,Mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek Nek,hate
HATE_1705,Cheating Cheyadam Kante Coolie Pani Chesukoni Bratikite Chala Happy ga vuntundi. Mi Lanti Vari matalu mudhanammakalu vundevaru nammutaru,hate
HATE_1706,Why is you a different beast in the state,hate
HATE_1707,"Your words are ""firefighters"". Thank you.",non-hate
HATE_1708,Mouli anna content vere level,non-hate
HATE_1709,Tammi ... Nuvvu Benz Car Kone Stage Ki Asthav ... neel a kasi n talent rendu unnayi ... All D Best,non-hate
HATE_1710,Best Laddu Lags Pilla Award Goes To Mouli Mama,hate
HATE_1711,"Bro Part 2 Cheyandi Bro, Chala Rojula Taravata Baga Navukunanu",non-hate
HATE_1712,"Nenu Ippudu Hospitalo Vunna Navvi Navvi Navvi Navvi Chanipoyanu, Doctor Treat Chesthunadhu (Just Kidding)",non-hate
HATE_1713,Thanks to NTB Anna for all Vlog Channel in Telugu ..,non-hate
HATE_1714,Very confident Sami. Jabardast with your comedy ..... The script you wrote is still funny,non-hate
HATE_1715,I don't believe. All this is not possible. Your script work for the Johars Ra Nayana. Very confident Sami.,non-hate
HATE_1716,Chillara Vedhavalu Ruling and Ruined the State. Andhrulu Andhra Sani dapurinchina rashtram,hate
HATE_1717,Why watch fake .. Original show,hate
HATE_1718,Radhakrishna's doors.,hate
HATE_1719,A B N MD Dotted to Radhakrishna's 'K A Paul Garu',non-hate
HATE_1720,Best Leader in India is in his words in his words,non-hate
HATE_1721,The words of those who do not speak of the unfairness of the unjust,hate
HATE_1722,Mahesh Anna Comedy Timing Super .. Jai Mahesh's elder brother ..,non-hate
HATE_1723,Eppatiki Oka 200 Times Chusa Kavacchu EE Scene Kani Prathisari Adhe Feel Adhe GooseBumps Raviteja Acting,non-hate
HATE_1724,Nijamga Chala Natural Comedy Idi Venu Madhav Gaari Acting Super,non-hate
HATE_1725,Venu Madhav Lanti Comedy Evaru Ceyyaru I AM VERY VENU MADHA,non-hate
HATE_1726,"Where to find it, Sami Bhale Pochamma played well",non-hate
HATE_1727,"Greetings Sir, it seems that the audience is getting brahmaradam everywhere for your film",non-hate
HATE_1728,You are the mother of your behavior that respects women as a mother,non-hate
HATE_1729,"If they are like you, girls are very virtuous sir sir",non-hate
HATE_1730,Bharatmata kissing is what you are like.,non-hate
HATE_1731,"If you have SPs like you in the police system, the respect for the police will increase sir ... SP like you should come in our Telangana sir sir sir sir sir sir sir sir sir sir sir sir sir sir",non-hate
HATE_1732,I don't like me big ... but you want my hatsaf sir ... they want to be everywhere like you,non-hate
HATE_1733,"Like you, they are DGP to the State of Tea State.",non-hate
HATE_1734,Telangana people's lives are yours ..,hate
HATE_1735,"This press meet to criticize them now. What or what else. This press meet fell out. How many days of Modi come and
Criticism of Modi. How many of you have been told.",hate
HATE_1736,Saar K Bayam Chicchukocchindi Anduke Peg esukoni Vachhi Loda Loda Notiki Vacchindi Vagutunnadu,hate
HATE_1737,"Arey KCR SAAB You are in Santosham, okay, if you make a state of names again to become CM, you will see CM Ayyau",hate
HATE_1738,How many days do people cheat people with such words .... ?? It becomes 8years that he will do the Dalit Chief Minister ... When will it yet ????,hate
HATE_1739,"If you have no numbers for BJP, you can contest your daughter",hate
HATE_1740,"Intaki Rahul Evadabba, Sir Indirect Ga Congress Rahul Gandhi Ki Hint istunda Kalsipodamani",non-hate
HATE_1741,The movie is very nice I saw,non-hate
HATE_1742,"Blockbuster Hit Aindhi Movie, Nikhil Saab Acting Excellent",non-hate
HATE_1743,Movie Lo Content Chala Bagundi Evvadu Apaledu Movie Ni Dilraju Kuda,non-hate
HATE_1744,Dil Raju cheedapurugu Tollywood ki. Tollywood Karan Johar Ee Dil Raju.Ravi Teja Krack Movie Ni Kuda Elane Tokkesadu,hate
HATE_1745,Nikhil Annaki Ye Saport Lekunda Mass Hit Kottaadu Movie Maathram Super,non-hate
HATE_1746,Nikhil's 100% along with his fans and Pawan Kalyan's fans are also accompanied by Jai Power Star,non-hate
HATE_1747,"This should be a good lesson for youngsters. Moral is ""Winning in Life",non-hate
HATE_1748,Karthikeya 2 Movie is Block Buster and Story oriented. Karthikeya 2 Movie Ki Screens Ivvakapote Next Nunchi Dilraju Movies Anni Boycott Cheyyali.,hate
HATE_1749,Dhil Raju Manchi Cinemal Ki Alaane Chesthaadu. Last time krack movie ki alaa chesaadu. Appudu Krack Yegisi Yegisi Thannindhi. Eppudu Karthikeya2 Dhorlinchi Dhorlinchi Thannuthundhi. So Anni Musukoni Manchi Movies Ni Encourage Cheyyi ...,hate
HATE_1750,Dil Raju Gadu Dil Raju Gadu Thief My son has stopped a good movie.,hate
HATE_1751,Nikhil Ni Support Chyyandi Manchi Manchi Scripts Meeda Work Chstnnaru,non-hate
HATE_1752,Dil Raju Cinema Ban Chestam From Degree College Group Students And Antha Tamil Rockers,hate
HATE_1753,Dilraj pani aiepoedi enka salav enka anni rojulu bye bye ankul,hate
HATE_1754,This is a movie that must be seen by every Hindu wow movie,non-hate
HATE_1755,Thank you for supporting the little heroes that even the little heroes who have given a good message through this video are not a big buddy.,non-hate
HATE_1756,Nuvvu Nijamgaa Nippu .... The Voice Of Truth Anipinchaav Thammi,non-hate
HATE_1757,Dil Raj Fur,hate
HATE_1758,The practitioner will not stand up to the rich of all kinds of rich,non-hate
HATE_1759,If you really hear your words about Tarak's 'Tarak',non-hate
HATE_1760,Harikrishna Garu did not speak very well .. Cm.,non-hate
HATE_1761,NTR Real Life is also a very intelligent man.,non-hate
HATE_1762,Anyone who exceeds NTR Tiger in acting seems to be in the country in film industry.,non-hate
HATE_1763,Evala Takkuva Theatres SE .. Repu Chudu ... Double Avtay ... Mamuluga Ledu Movie ... Next Level ... Gopichand Sahasam Movie Reference Undi,non-hate
HATE_1764,Nandamuri will be honest when they are honest fans,non-hate
HATE_1765,The great man who resigned from the post of minister about Telangana .. Komatireddy,non-hate
HATE_1766,Why SIR is exhausted to the wedding !!! Leave SIR. Both of them are fun to entertain people,non-hate
HATE_1767,"Somewhere in Nutiko Kotiko somewhere it is, it is you. Your Lakshmi Amma. Amma Amma jumped. Amma's hand cooking elixir is now a master G.Mayam, an orphan sarana rhythm. Dance with the name of the service. Swami",non-hate
HATE_1768,Sabitha Indra Reddy was truly worth the party but the party was really shocked by me. The Congress was cheated by everyone .. Someday people who say the right lesson .. !!,hate
HATE_1769,"Dilip Sunkara, who won such a long struggle on behalf of the people, wishes Dilip Sunkara ... Jai Bhim ...",non-hate
HATE_1770,Ilani Panikamalina Vallanu Interviews Cheyakandi Plz,hate
HATE_1771,How do you get all the money to spend the original people?,hate
HATE_1772,Ilaa Sollu Cheppi Kaanichestunnadu ..,hate
HATE_1773,Mottanaki neeku correct mogudu badaleswari ya,hate
HATE_1774,Komatreddy Garu Telangana Kosam Padavini Rajinama Chesi Nirahahara Deeksha Chesina Leadrs Lo Okkaru ... Every One Respects Him,non-hate
HATE_1775,"Raghunandan wants to have a good future. The interview is very good, First Time RK has spoken well",non-hate
HATE_1776,This is the best thing that has been done so far in Open Heart with RK Interviews. Raghunandan is clear.,non-hate
HATE_1777,"RK Garu ... Mee Questioning Bagundhi. But cm ni or central minister Ni Adagalsina Questions Aduguthunnaru. Overall It's a very good discusion. My vakheel saab thopu, ayana maata muchata vignaanam chaala superb. Way to go my MLA",non-hate
HATE_1778,Nadi Srikakulam district .. But Raghu Anna's promise is a fan ..,non-hate
HATE_1779,Our Raghu Anna is a mindful leader with good eloquent leadership qualities. Jai Bhim Jai Bharat,non-hate
HATE_1780,God is definitely forgiving the wrong key repentance,non-hate
HATE_1781,Suspended from the party for the eighth work you did in YCP ...,hate
HATE_1782,If you call you and give you a sacred position ... you will hold it from behind ..,hate
HATE_1783,We see a man who replied a little more without shame and asked if the question was on the rod.,hate
HATE_1784,Lendi is not aware of the expression ...,non-hate
HATE_1785,Knowing the most joyful mistake and speaking with a pure mind ... a good change.,non-hate
HATE_1786,"From the ""back"".",hate
HATE_1787,Appara .... You are acting badly with a girl and holding tight from the back of your character ... who does it?,hate
HATE_1788,"You will continue with the same fire. These fake youtubers and travellers should end. Because of this, many people are disappearing unique content creators. You Just Keep Going Bro",non-hate
HATE_1789,"It is very difficult to prove the truth is that it is possible for the one who is honest is that capture in you, is honest",non-hate
HATE_1790,This is not to say how good it is. I like a lot of respect; She's still hoping to look yet,non-hate
HATE_1791,"Raja Shekhar Reddemi is not a great -hearted man who wants the public. If he is ""great grin"", his son Jagan's father is ""Maha Maha Geta"".",non-hate
HATE_1792,Jaganmohan Reddy's children are well looked after by the anchor and your children,hate
HATE_1793,"The two of you are not used to the culture of the two of you, as well as lies with journalism. All say they have heard. Chee Chee",hate
HATE_1794,"Thq Sir, Challa Chakagaa Chayparuu ...",non-hate
HATE_1795,"Krishnarao Garu 2007 episode marichipoyara, viveka resight",hate
HATE_1796,", waste interview vunnappudu oka maata lenappudu okamata",hate
HATE_1797,"KVP ki telusu jagan wtlanti vaado, Anduke doiram jarigaadu, karma emitante ap prajalake teliyatam ledu",hate
HATE_1798,"Jagan Ni poguthunnava, leka mingutunnava ... indirect ga jagan secret lu Ani Cheptunnav.",hate
HATE_1799,You have given you a lot of good luck and give you good and younger brother.,non-hate
HATE_1800,Sir Nagababu You are thinking about your financial situation. I have changed my life as a paradise.,non-hate
HATE_1801,Orange Super Movie .. This is the day ... Super Hit ... I like it .. Orange Movie,non-hate
HATE_1802,Pawan Kalyan's Chiranjeevi Personal Life has also saved Great Nagababu,non-hate
HATE_1803,Open Heart with Arca Interview means that the mind is to be taken in mind ... the facts are like a fire.,non-hate
HATE_1804,"RK to you, to your team, Suti softly described the questions ...",non-hate
HATE_1805,About Brothers You said well without ego,non-hate
HATE_1806,Madhava Reddy says that KCR has been beaten by KCR.,hate
HATE_1807,Dilip Chander Sir is distorting the mirror everywhere.,hate
HATE_1808,Mohan Babu could not answer some questions. Water is chewing,hate
HATE_1809,I am a fan of Nagababu from the leader of the leader. Mega brothers are very fond of. Great brothers,non-hate
HATE_1810,Open Heart Program is to be seen with Rajinikanth.,non-hate
HATE_1811,"Love u mohan sir, as a witness to our Batenayakona, and you who are not the only one who is a real fate",non-hate
HATE_1812,"Minority Ayithe Vadhiileyala, Vaallemayina Nawab Laa, Vaallakemayina Kommulu Molachaaya, Vaallemayina Swargam Lonchi Oodipaddaara, Minorities Ki Ee Special Treatment",hate
HATE_1813,Note this point .. Minorities Kabatti Vadileyandi ...,hate
HATE_1814,ABSCONDING .... Nayeem and Madhav Reddy Relation Gurinchi Prathi Mata Fake Cheputhunnadu ... Telusu Kani Abadham Cheputhunnadu ...,hate
HATE_1815,"Paritala Nu Nuvve Sampinavu Raa Nennu Gaali, Vaana Devudu Sampeedu",hate
HATE_1816,"Assaminchani Suryudu Ma Paritala Ravanna, Champi Chindhi Nuvu Nikodukey, Andukey Ni Maranam Uhatitham.",hate
HATE_1817,Niku Sambhamdam Leda Anduke Ni Shavam Kuda Dorakakunda Chesadu God,hate
HATE_1818,Mahanu baava ela kannavayya ee basmasurani,hate
HATE_1819,"Arey YSR GARU MEE is a brutal son Jaggu Hastam 100 Percent. The scene was exhausted Immediatly Bangalore Jump and Security Staff there was also rushed there. Akkada aa rush Situation lo Some Jaggu Body Guards and Securities Suddenly, hurriedly in traffic, chala problem tho duty ki reach.",hate
HATE_1820,Evaru adigaruu raaaaaaa ninnu,hate
HATE_1821,The name of Paritala Ravi is not known in our body .... Jayaho Paritala .....,non-hate
HATE_1822,A man who knows the values ​​...,non-hate
HATE_1823,Rayalaseema Simham Paritala Ravi Telugurashtrala Devudu NTR But Family Members Of Both,hate
HATE_1824,I am proud to be born in Anantapur and my Tadipatri constituency is not likely to vote for Sriram Anna. Jai Paritala,non-hate
HATE_1825,Paruchuri Gopala Krishna Gary Namaste Namaste For The first time in Bhargava Ramudi movie Super Variety Action Sir,non-hate
HATE_1826,It is wrong to force the landlords to give the lands to the poor and give your lands and give your lands and forced to be forced ... Paritala Ravi is also a rowdy in the form of communist,hate
HATE_1827,Johar Ravanna Ilanti Lavada Politics Ki Melanti Powerful Leaders Asalu Unte ... Okkokadu Darilo Undevadu,hate
HATE_1828,Bro Mee Anchoing Chala Chala Chala Decent,non-hate
HATE_1829,You are very lucky to have the younger brother.,non-hate
HATE_1830,Ravi Anna Oudi Ounte Nani Vamsi Anil Kumar Ambanti Lanti Vaalu Noru Lepevaru Kaademo,hate
HATE_1831,Pavankalyan Save after the film (Orange),non-hate
HATE_1832,Mohan babu oppukunna oppukokapoyina chiranjeevi peddankanni vachchina gouravam m taggipodu,hate
HATE_1833,Why did Chiranjeevi do not like him in your movie?,hate
HATE_1834,Maa Nagababu Garu Is Great Person Devudu Eppudu Meethone,non-hate
HATE_1835,Chala Baga Cheparu. Nagababu Sir Help Chesena Chepukoru .Meru Brothers Kosam Baga Cheparu,non-hate
HATE_1836,"Rajakeeyam lo nenu miku full opposite kani, miru mee brothers gurinchi cheepthunte na kallu chemarchayi nagababu garu",non-hate
HATE_1837,Politics,non-hate
HATE_1838,They are good.,non-hate
HATE_1839,RK Garu Neku Interview Cheyadam Rakapoty Miskuni Vallaku Chance Evvandi Niku Respect Evvadam Teledu,hate
HATE_1840,Papam Suri Ki Chala Badha Vundemo Anduke Ane Sarlu Attack Chesadu,hate
HATE_1841,Sethamma Vakitlo Serimalle Chettu Nenu 9th Lo Unnappudu Vachindhi Nen 9Times Chusna Ade The Best Movie Nadi,non-hate
HATE_1842,Anduke Meeku Devudu Jabardasth Show iccharu varun tej ki anni hits iccharu,non-hate
HATE_1843,Orange Movie Epatiki Chusina Kothaga Untadhi .... Ndhuko Theelidhu I Love To Watch Dat Movie,non-hate
HATE_1844,Guruvu Garini Kalavalekapoyanu Ane Chinna Baada Kakapothe Aayana Puttina Roje Nenu Puttanu Naku Adoka Santhosham Dasari Garu Vunte Ey Maa Elections Chevaalu,non-hate
HATE_1845,Guruji meeku evvaru saatiraru johar dasari gaaru,non-hate
HATE_1846,DNR Sampadinchalani Anukunte Today Cinieema Field Lo Ewaru Sariporu Mahanubavudu Daring Man,non-hate
HATE_1847,"Manchi Manasu, Havabhavalu Ela Kavalante Ala Palikinche, Kalamathalli Mudhuu Bidaalu Druvatharalu Nela Ralaru andhulo Oka Mudaa Dhasari Garu",non-hate
HATE_1848,Cinima Vallu Mottam e episode chusi aena buddi techukondi tickets rates rates vishayam lo lo,hate
HATE_1849,DNR Still Old School ... Kalam Tho Marakapote Evaru Aina Kala Gharbham Lo Kalisipotaru.,hate
HATE_1850,Na guruv gariki padabhi vandananalu,non-hate
HATE_1851,Orei Radhakrishna before any town should come from,hate
HATE_1852,Ni Bondha Ra NTR Records Badhalu Kottava ..!?,hate
HATE_1853,Marri Nevvu am i pekavu,hate
HATE_1854,The title of Dasari Narayana is the title of what Arke Dasari Narayana Rao is the title of your mind here,hate
HATE_1855,RK Gadu is suffering. As inside because of Dasari Kamma,hate
HATE_1856,"If they have made a single film with our great actor Dr Rajakumar Jothi, they are ,,, !!!!",non-hate
HATE_1857,Anil Kumar said that there are no such problems in the state.,non-hate
HATE_1858,Reel Life Lo Jaruguthay Anukunnam When Real Life,non-hate
HATE_1859,"If the next one is great, this is always the case.",hate
HATE_1860,Such fake calls are making many people who are bothering the number.,non-hate
HATE_1861,No one says that there is no one in the clarity.,non-hate
HATE_1862,Verma says 100 percent is true. What happens in the industry is separate ... Rangopal Verma said all the very well to understand the common man.,non-hate
HATE_1863,Mallanna tappudu darlo vellaku. Oka melu jarigetappudu konni vishayalu oppukovali. Mana Paruvu Manam Teesukundam Entavaraku Correct. KCR Bathroom Biryani Gurinchi Telisi Kuda Chala Mandi Peddalu Niraharadeeksha Ni Munduku Techaru Kada. jarige melu telusuko.adi andariki manchidi,hate
HATE_1864,Ambedkar Gari Gopathanam Gurinchi Chepaka Ne Carector Nachindhi Mallana Good,non-hate
HATE_1865,Antha Vadaina Kani Aina Sare Antha Dabbu Una Time,non-hate
HATE_1866,She is an example of the characters that are rushing for the purposes of the requirements,hate
HATE_1867,"You are great. That is why you put the family of Anna on the street. Same Nee Home Like Harikrishna's second wife Shalini, even today, has not even given a single interview about the NTR family. Eligible to bowge down hands",hate
HATE_1868,God will swear and tell everything true. The pandemic.,hate
HATE_1869,"NTR's biography by NTR, his life is the mother of Bad Chapter in NTR Life.",hate
HATE_1870,NTR Film Same Lakshmi Garu Chepinattu Tisaru .. Real Story. AM Extra Topics Add Cheyaled. Jai RGV. NTR Story mothm lakshmis ntr lo poorti ga chupincharu. Jai NTR,non-hate
HATE_1871,Nothing wasted NTR Gary has made your life dark,non-hate
HATE_1872,I must see Openahart with RK. This should not be interviewed. Honey is coated,hate
HATE_1873,Devudu Lanti Manishini Cheda Dobbataniki Anni Times Kalavataniki Try Chesava ....... Niku Dandam Thali God Lanti Manishi Life History Lo Oka Marka Unnav .....,hate
