S.No,translated_texts,Label,telugu_texts
HATE_1614,Sollu Apara Re Nee Bochu Telivi Tetalu Andhra Pradesh Bagu Kosam Cheyyara,hate,Sollu apara re nee bochu telivi tetalu Andhra Pradesh bagu kosam cheyyara
HATE_1615,"Siggu, neethi leni",hate,"Siggu, neethi leni"
HATE_1616,The words you have spoken have 100 PERCENT TRUE ..,non-hate,???? ????????? ??????? 100 percent ???? ????..
HATE_1617,Jagan Dobbindi Kanapadada Neeku Atineetimantuda,hate,Jagan dobbindi kanapadada neeku atineetimantuda
HATE_1618,This video should be shared by the common man's weapon Dilip,non-hate,?????????? ?????? ????? ?????? ???? ???? ? ?????? ????????? ?????? ???? ??????
HATE_1619,After seeing Eidi ....,non-hate,????? ?????....?? ???? ??? ???? ????? ?????????...
HATE_1620,You are really the Legend,non-hate,???? ??????????????  ?????? ??????????? ?????? ?????? ?????? ????
HATE_1621,He counted half of the alien grown alien,hate,???? ???? ??????? ???????? ???? ????? ???????
HATE_1622,Rey Troll Gallara is on your life,hate,???? troll ???????? ?? ???????? ?????????? ??? ????????????
HATE_1623,Comments Chadivi Masthu Enjoy Chesthunna Nenaithe,non-hate,Comments chadivi masthu enjoy chesthunna nenaithe
HATE_1624,"This video has made us very entertained, but we know how Allu Arjun is in the first movie that is in the first movie that we know why we know how it is in Pushpa.",non-hate,???? ? ?????? ???????? ????   ????????? ??????? ???? ????? ??????? ??????? ?????? ???? ????? ???? ?? ????? ??????? ??? ??????? ???? ?????? ??????? ????? ?? ??? ??????? ???? ??????  ?????? ??? ???? ????? ?????????.
HATE_1625,Baga kastapaddav bro edit ki. Good Keep IT UP,non-hate,Baga kastapaddav bro edit ki . Good keep it up
HATE_1626,Deenemmaa dabbulu unte darinapoye danaya tho cinema tiyachu ani telisindi,hate,Deenemmaa dabbulu unte darinapoye danaya tho cinema tiyyachu ani telisindi
HATE_1627,Bro Vaadi Height Entha Bro .... Sampu Kante Comedy Ga Vunadu ...,hate,Bro vaadi height entha bro.... sampu kante comedy ga vunadu ...
HATE_1628,Veedevado Grahahanthara Vasi Kappa La Vunnadu,hate,Veedevado grahanthara vasi kappa la vunnadu
HATE_1629,EDI KANNA SAMPURNESH BABU MELU KADHA RA BABU Expression,hate,Edi kanna sampurnesh babu melu kadha ra babu expression baaga esthadu edu mv motham okatey expression
HATE_1630,"Asalu Aa Mukham Yendhayyaa, Kaneesam Manishi Laa Koodaa Ledhu ..... Nag, Mahesh, Akhil Tharuvaatha Antha Andhagaadini Anukunnaadaa Yendhi Saamy.",hate,"Asalu aa mukham yendhayyaa, kaneesam manishi laa koodaa ledhu.....Nag, Mahesh, Akhil tharuvaatha antha andhagaadini anukunnaadaa yendhi saamy."
HATE_1631,To Be Frankly Host Kante Chay Chala Humble Ga React Ayyaru,non-hate,To be frankly host kante chay chaala humble ga react ayyaru ... really love his nature
HATE_1632,Police know all the uniforms of pride law make a mistake and fight on behalf of the people for advocate rights,hate,????? ?????? ?????? ??? ???????? ?????? ???????  ????? ??????? ???? ????? ?????? ??? ?????? ????????  ?????? ???? ????? ????? ????????
HATE_1633,"Knowledge is Divine, Hungered Perfect Butt Not Self -Estimated Wow Nice Quotes",non-hate,"Knowledge is ??????, ???? ?? ????? ??????? ??? ????????? ???????      ????    ????  quotes"
HATE_1634,Our good luck sir ..... thank you ..,non-hate,?? ????? ????? ????? ?? ??????? ????.....???? ??????????..
HATE_1635,"If they are like you, justice will be done to every common man. Salute sir",non-hate,???????  ???? ???? ????? ??????? ??????  ?????? ??????????. Salute sir
HATE_1636,I will live with self -esteem I like it,non-hate,?????? ????? ????????? ???? ????????? ?? ??????????? i like it
HATE_1637,All the words that apply to him are a great man who has put it through his mouth.,non-hate,???? ???????? ???????? ?? ???????????? ?????? ????? ???????.
HATE_1638,Muthy Garu Do you think people do not believe â€¦â€¦?,hate,Muthy garu ???? ????? ??? ?????? ??????????????…… ??? ???????????? ???? ??????……..
HATE_1639,MP Gary has to hand over the phone and send it to the Forensic Lab,non-hate,???? ???? ???? ??????? ???? ???????? ?????????? ?????? ?? ??????
HATE_1640,Home Minster 2000% Unfit ... The Willage Member Ki Ki More,hate,???? ????????? 2000% UNFIT... ????? ???? ?????? ?? Village member ?? ??????
HATE_1641,The police are not brokers,hate,?????? ?? ???? ?????? ??????? ??
HATE_1642,Who is such a shameless SP .... IPS is a shame for the superior,hate,???? ??? ?????????? ???.??....?.??.??? ??? ???????? ?????? ??????????
HATE_1643,"Fakirappa, who made a good name in Baabu Gaari Time",hate,Baabu gaari ????? ???? ???? ??????????? ??????? ??? ??????? ?????????? ??????
HATE_1644,AP ... lo ... asalu..criminals..ku ... votlu vesi..na..ap ... janalaku..100%âˆš >> Sigguledhu..first..ap ... lo .. Undi .. YCP..Police..Station ... AP ... Lo..asalu .. Police..Varu..layru .... Next..2024..lo .. untundi..ap ... Police..Vari..ki ...,hate,AP...lo...Asalu..criminals..ku...Votlu  Vesi..na..AP...Janalaku..100%?>> Sigguledhu..first..AP...lo..Undi.. YCP..Police..station...AP...lo..Asalu.. Police..varu..layru....Next..2024..lo.. Untundi..AP...Police..vari..ki...
HATE_1645,Asalu Criminals ku votlu vesi na Janalaku Sigguledhu first,hate,Asalu criminals ku votlu vesi na janalaku sigguledhu first
HATE_1646,How to speak the original MP,hate,???? ????????? ???? ???? ???? ???? ??? ???????
HATE_1647,Bullitta Jabardast Kamalahasan Getup Sheenu Sudheer's lack of deficit,non-hate,????????? ????????? ???????? ????? ???? ?????? ???? ???? ???? ???????? ?????????? ???? Miss u sudheer anna
HATE_1648,Really this Love Story is Sean Super by Bhai Shenanna Adi,non-hate,?????? ? ??? ?????? ???? ??  ?????? ????? ???? ?????
HATE_1649,Sreenu Anna is true you say ...,hate,?????? ????? ?????? ????????? ???? .... ? ???????? music tho ?????? ????????????? ??????????
HATE_1650,Getup srini Anna Superb ... Miru Ravadam Chala Santhosham,non-hate,Getup srini anna superb...miru ravadam chala santhosham
HATE_1651,Comedy in the role of Yamadharma Raju getup Srinu Anna Yamadharma Raja,non-hate,"????? ?????? ???? ?????? ???? ??????? ?????? ???????????  ?????- ????, ???????- ????, ??????- ????? ????? ??? ?????? ?????? ??? ???? ??????????????"
HATE_1652,"Those who have seen the video without ""skip"" for our Harsha Sai Anna",non-hate,"?????? ?? "" skip "" ???????? ????? ?????? ?? ???? ????????? ?? ???? ???? ???? ????"
HATE_1653,"You are blue in history, bro hand of your help full to poor people.",non-hate,???? ???????? ????????? ???? Hand's off to Your help full to poor people.
HATE_1654,Prajalu Question Cheyanantha varaku politicians mararu. Politics Marav. The Great Ap People,hate,Prajalu question cheyanantha varaku politicians mararu. Politics marav. The great AP people
HATE_1655,"If you have conspired and go viral, you have to file a case against you.",hate,???? ???? ???? ?? ??? ?????? ???? ??????????? ????? ?????? ?????? ???? ???????????? ???? ??????? ???? ??????????? ??????? ??????
HATE_1656,How many Harsha Sai Fans are here. A Man With Golden Heart,non-hate,"???? ???? ???????? ??????? ??????? ?????,. A man with golden heart"
HATE_1657,I couldn't stop tears if the farmer was happy,non-hate,???? ????????????? ????????? ??????????????
HATE_1658,E Video Chusina Tarvata Ilani Manchi Manushulu Untara Ani Chala Santhosham Anipinchindi,non-hate,e video chusina tarvata ilanti manchi manushulu untara ani chala santhosham anipinchindi
HATE_1659,He should be in the country like you ..... you are an inspiration for all ........ Jai Hind older brother,non-hate,???? ??????? ???? ???? ?? ?????? .....?????? ??????? ?? ???????????? ........?? ????? ???????
HATE_1660,E 75kurma bharataswatantra desaniki nizamaina geept ichchavu. Anna Nuvvu ... Desamloni Prathivaadu Garvapadela Vundi ....,non-hate,e 75kurma bharataswatantra desaniki nizamaina geept ichchavu. anna nuvvu... desamloni prathivaadu garvapadela vundi....
HATE_1661,They will not be in this life in this life,non-hate,"?????? ? ?????? ?? ??? ??????? ??????? ?? ????? ???????????????,?????? ?????? ????"
HATE_1662,Watching this video I have not stopped tears ... Harsha Brother Your God And Blessed.,non-hate,? ?????? ????????? ???? ????????? ???????? ???? ????? ?????????...    ???? ?????? ?? ?????? ???? ???? ????????? ???..
HATE_1663,Great Anna that you have done a great job that no one can do,non-hate,?????? ????????? ????? ??? ???? ???????? ???? ?????? ?????
HATE_1664,"Ettaa Teesaru Bhayyaa ... Cinema Ni Writing, Performance, Music..Direction Everything Is Just Classic ... The Best Love Story Ive Watched Till No",non-hate,"Ettaa teesaru bhayyaa...cinema ni writing,performance,music..direction everything is just classic...the best love story ive watched till no"
HATE_1665,Nag Sir La Natural Ga Evaru Matlada Leru ... Nag Sir Super,non-hate,Nag sir la natural ga evaru matlada leru...nag sir super
HATE_1666,NUV Chesthe Cinema Appadam Aithadi Saaar,hate,Nuv chesthe cinema appadam aithadi saaar
HATE_1667,Nuvvu chesunte flop ayyedemonani naa doubt,hate,Nuvvu chesunte flop ayyedemonani naa doubt
HATE_1668,"When the use of the time or because of you, the grandfather of the film, it is your character that is your character my and the cure deejay till I do not say that I can do it.",hate,"??????? ??????? ??? ??? ????? ???? ?? ?????? ???? ?? ????, ??? ???? ? ?????? ???? ????,??? ?? ??????????? ?? ???? ??? ???? ?????? ???? ???? ???? ?????? ??? ??????????"
HATE_1669,Itlanvi Why Do Meeru Rotta Cinemalu Matrame Chestaru Sir Meeru ... Any Way .. Ayina Meerante Naakistam Sir,hate,itlantivi ?????? ?????????? meeru rotta cinemalu matrame chestaru sir meeru... any way .. ayina meerante naakistam sir
HATE_1670,Manchi pani Iyendi neku rakapovadam,hate,Manchi Pani iyendi neku rakapovadam
HATE_1671,NV will be utterflop,hate,Nv ??????? utterflop ???????
HATE_1672,Em manishulu ra miru bhimbisara manchi movie petukoni ... e movie evaru chustaru ra nag,hate,Em manishulu ra miru bhimbisara manchi movie petukoni...e movie evaru chustaru ra nag
HATE_1673,I drink how many people you say no matter how many children are drinking.,non-hate,???????? ???? ???? ??? ???????? ???? ?????? ?????????? ?????? ??? ???????? ??? ??????????? ??????? ?? ????? ?????? 20 ?????????? ?????? ??????? ???? ???????????? ??? ?? ???
HATE_1674,You really super sir what you talk about,non-hate,???? ?????? ????? ???? ???? ?????????? ?????? Exlnt
HATE_1675,A great man who talks about the drug with a media conference,non-hate,?????? ??????? ?????? ???? ??????? ???????? ???????????
HATE_1676,"Sir ... you said very well ... If there is any leader who speaks to the public, it is you ... Hotsaf sir ...",non-hate,???...???? ???? ???? ???????? ...??????? ????????? ?????? ???????? ??????? ?????? ???? ???   ????...???????? ???...
HATE_1677,The teacher is also shot in the chief Nikkar ...,hate,?????? ???? ? ???? ??????? ?? ???? ????? ?????????????... ????? ????? ?? ????..... ?? ???? ??????
HATE_1678,E Rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar,non-hate,e rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar
HATE_1679,Maa City Lo Every Lopala 3 Wines Vnayi Last 2 Years Nundi ... Licens Ela Padithe Alaa Evhesaru ...,hate,Ma city lo every 1 km lopala 3 wines vnayi last 2 years nundi... licences Ela padithe alaa evhesaru...Iast elections lo TDP ki vote vesinanduku nenu chala badhapadatananu
HATE_1680,Me Knowledge Ku Salute Sir Me Lanti Vallu,non-hate,Me knowledge ku salute sir me lanti vallu ilantivi appudappudu media mundi cheppandi
HATE_1681,"You understand how to thank you for making such a good film .. This classic movie history lo does not stop
",non-hate,"??? ?????? ?????? ???????? ???? ??? ????????? ???????? ????? ????? ????.. ?  classic movie ?????? lo ?????????????
"
HATE_1682,Hanu is a very descent and dignified person unlike the arrogant petty giramouli. Hanu is very simple and down to Earth Person. Best Wishes to Him.,non-hate,Hanu ???? is a very descent and dignified person unlike the arrogant petty giramouli. Hanu ???? is very simple and down to earth person. Best wishes to him.
HATE_1683,Geniune Banner and Andharu Chala Hardwork Chestharu.,non-hate,Geniune banner and andharu chala hardwork chestharu.
HATE_1684,Meeru Cheppindi Nijam Chesaru Hanu Garu ...,non-hate,Meeru cheppindi nijam chesaru hanu garu...aa nijaanni nen e roju theatre lo chusanu no mobile light was on during the movie time...kudos to u
HATE_1685,Em confident sir movie Eeroju Chusa Meeru Movie,non-hate,Em confident sir movie eeroju chusa meeru movie gurinchi cheppindhi chala thakkuva sir movie extraordinary ga undh 
HATE_1686,Vishal Chandrashekhar aa BGM Endhira Saami Edipinchesaav,hate,Vishal chandrashekhar aa bgm endhira saami edipinchesaav
HATE_1687,Hanu Raghavapudi Love Story Ante Super Immersive Ga untadi,non-hate,Hanu raghavapudi love story ante super immersive ga untadi
HATE_1688,Super Comidy Mi Cinima Hit Kavali,non-hate,Super comidy mi cinima hit kavali
HATE_1689,Ery Pappa La Tho Comedy Very Pappa La Uantadhi Dhodhu Dhodhey,hate,ery pappa la tho comedy very pappa la uanttadhi dhodhu dhodhey
HATE_1690,The king always speaks like the king ... Jai RRR ...,non-hate,???? ??????? ???????? ????????????...?? ?????????...
HATE_1691,"If you do not take action so far, all the rest of the universities are willing to become popular.",hate,??????? ???????? ????????????????? ???????????????? ??????????? ??????? ??????? ?????????? ???????????..?????????? ?????? ??????????? ????..
HATE_1692,JC Diwakar Reddy says that something is said to be a uniform .....,hate,??? ????????? ??????? ?????? ?? ???????..... ??? ?? ?? ??????? ?????? ???? ??????
HATE_1693,YCP Vunnatha Varaku Andhrapradesh Paristhi Enka Diga Jaaripotaadi .... Vaalu Leaders Kaadu Maha Vedava Lu ...,hate,Ycp vunnatha varaku Andhrapradesh paristhi enka diga jaaripotaadi.... Vaalu leaders kaadu maha vedava lu... Okarini minchina varu okaru
HATE_1694,Shem Gari Manasu Doche Untadu Goratla Madhavudu; Promotion Confirm Deputy Shem Poste,hate,SheM gari manasu doche untadu goratla madhavudu; promotion confirm deputy SheM poste
HATE_1695,Goppa Goppollu ... AP Nundi Parliament Ki Vellaru ... Maa Telangana Chala Better ... Anna Maa Telangana Lo Dikkumalina Video Samskruthi Inka Rale ...,hate,Goppa goppollu ...AP nundi parliament ki vellaru...maa Telangana chala better...anna Maa Telangana lo dikkumalina video samskruthi Inka rale...
HATE_1696,"Actually, our director is a like",non-hate,????? ????????? ?? ????????? ???? ???? ?????? ?? ???? ????????
HATE_1697,There is no good medicine beyond laughter that we have found a good director.,non-hate,???? ???? ????????? ?????????? ????? ?? ?????? ???? ???? ??? ????.
HATE_1698,Venu Swami's words are all lied.,hate,???? ?????? ?? ????? ????? ??????.
HATE_1699,Elanti Valanu Encourage Cheyadam Media Valu Tappu. Veeri mida government charyali tisukovali. Naku Telisi Jatakalu Emi Vundaavu Ani Medhavlu Chala Mandi Chepparu. Public nu chestunnaru.,non-hate,Elanti valanu encourage cheyadam media valu tappu. Veeri mida government charyali tisukovali. Naku telisi jatakalu emi vundaavu ani medhavlu chala mandi chepparu. Public nu cheating chestunnaru.
HATE_1700,Miru epudu chanipotharu swamy,hate,Miru eppudu chanipotharu swamy
HATE_1701,Say someone who has laid sketch (if guts),hate,Sketch ??????? ???? ???? ???????? (????? ????)
HATE_1702,Yogi Cinemaa Muhurtham Pettaduu ... Adi Flop Avuddani Teliyadu Raa Maidapindii,hate,yogi cinemaa muhurtham pettaduu ...adi flop avuddani teliyadu raa maidapindii
HATE_1703,"Babu Gogineni Sir, Veedu Inka Marala Please Evarikina Choopinchandi Please",hate,"Babu gogineni sir,veedu inka marala please evarikina choopinchandi please"
HATE_1704,Mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek Nek,hate,Mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek telidha
HATE_1705,Cheating Cheyadam Kante Coolie Pani Chesukoni Bratikite Chala Happy ga vuntundi. Mi Lanti Vari matalu mudhanammakalu vundevaru nammutaru,hate,Cheating cheyadam kante coolie pani chesukoni bratikite chala happy ga vuntundi. Mi lanti vari matalu mudhanammakalu vundevaru nammutaru
HATE_1706,Why is you a different beast in the state,hate,???????????? ?????????? ???? ???? ?????? ????
HATE_1707,"Your words are ""firefighters"". Thank you.",non-hate,"?? ????? ""????????????"". ???????????."
HATE_1708,Mouli anna content vere level,non-hate,Mouli anna content vere level
HATE_1709,Tammi ... Nuvvu Benz Car Kone Stage Ki Asthav ... neel a kasi n talent rendu unnayi ... All D Best,non-hate,Tammi... Nuvvu benz car kone stage ki asthav...neelo a kasi n talent rendu unnayi... All d best
HATE_1710,Best Laddu Lags Pilla Award Goes To Mouli Mama,hate,Best Laddu lags pilla award goes to Mouli mama
HATE_1711,"Bro Part 2 Cheyandi Bro, Chala Rojula Taravata Baga Navukunanu",non-hate,"bro part 2 cheyandi bro ,chala rojula taravata baga navukunanu"
HATE_1712,"Nenu Ippudu Hospitalo Vunna Navvi Navvi Navvi Navvi Chanipoyanu, Doctor Treat Chesthunadhu (Just Kidding)",non-hate,"Nenu ippudu hospitallo vunna nevalle navvi navvi chanipoyanu,doctor treatment chesthunadhu(just kidding)"
HATE_1713,Thanks to NTB Anna for all Vlog Channel in Telugu ..,non-hate,?????? ?? ????? ????? ?????? ?????? ??????? ???????? NTB ???? ?? ??????????..
HATE_1714,Very confident Sami. Jabardast with your comedy ..... The script you wrote is still funny,non-hate,???? ?????????? ???????? ????.      ?? ?????? ?? ????????? ?????? ???????.....???? ????????? ?????????? ???? ??????? ????
HATE_1715,I don't believe. All this is not possible. Your script work for the Johars Ra Nayana. Very confident Sami.,non-hate,???? ??????. ????? ?????? ????? ??? ????. ?? ?????????? ????? ?? ???????? ?? ????. ???? ?????????? ???????? ????. 
HATE_1716,Chillara Vedhavalu Ruling and Ruined the State. Andhrulu Andhra Sani dapurinchina rashtram,hate,Chillara Vedhavalu  ruling and ruined the State. Andhrulu andhuly enjoying for their overenthusiastic attitude. Sani dapurinchina Rashtram 
HATE_1717,Why watch fake .. Original show,hate,Fake ?? ?????? ?????..Original ?????????? ???????? ???? ?????? ???????? ??? ???????? ???????
HATE_1718,Radhakrishna's doors.,hate,????????? ?????? ??? ??????? .????? ?? ????????..
HATE_1719,A B N MD Dotted to Radhakrishna's 'K A Paul Garu',non-hate,A B N  MD ????????? ???? ??  ??????? ????????   ''K A ???? ????'' ???? ????? ???? ?? ??????? ???????? ????????????..
HATE_1720,Best Leader in India is in his words in his words,non-hate,???????? ?????? ????? ?? ? ???? ??? ????????? ???? ???????? ?? ?? ? ????
HATE_1721,The words of those who do not speak of the unfairness of the unjust,hate,???????? ??????? ?????? ??????? ?????? ???????? ????? ????? ????? ??????? ?????????????
HATE_1722,Mahesh Anna Comedy Timing Super .. Jai Mahesh's elder brother ..,non-hate,????? ???? ?????? ??????? ?????.. ?? ????? ???????..
HATE_1723,Eppatiki Oka 200 Times Chusa Kavacchu EE Scene Kani Prathisari Adhe Feel Adhe GooseBumps Raviteja Acting,non-hate,Eppatiki oka 200 times chusa kavacchu ee scene kani prathisari adhe feel adhe goosebumps Raviteja acting ki aa voice lo base ki Rajamouli direction ni dominate chesina one and only hero MASS MAHARAJA 
HATE_1724,Nijamga Chala Natural Comedy Idi Venu Madhav Gaari Acting Super,non-hate,Nijamga chala natural comedy idi Venu Madhav gaari acting super 
HATE_1725,Venu Madhav Lanti Comedy Evaru Ceyyaru I AM VERY VENU MADHA,non-hate,Venu Madhav lanti comedy evaru ceyyaru I am very very missing Venu Madha
HATE_1726,"Where to find it, Sami Bhale Pochamma played well",non-hate,????? ??????????? ???? ??? ?????? ???? ?????? ???? ????? ???????
HATE_1727,"Greetings Sir, it seems that the audience is getting brahmaradam everywhere for your film",non-hate,"???????????? ???, ?? ???????? ??????????? ??????????? ????????? ???????????? ???????????"
HATE_1728,You are the mother of your behavior that respects women as a mother,non-hate,???? ??????? ?? ????? ???  ???????? ?? ??????????   ???????????
HATE_1729,"If they are like you, girls are very virtuous sir sir",non-hate,??????? ???? ????? ?????????? ???? ????? ?????????? ????
HATE_1730,Bharatmata kissing is what you are like.,non-hate,?????? ??????????? ???? ???? ???? ?????? ?????? ?????? ???????.
HATE_1731,"If you have SPs like you in the police system, the respect for the police will increase sir ... SP like you should come in our Telangana sir sir sir sir sir sir sir sir sir sir sir sir sir sir",non-hate,?????? ???????? ??????? SP ?? ???? ?????? ???  ????? ??????????? ????...??????? SP ?? ???????? ?? ???? ?????? ????
HATE_1732,I don't like me big ... but you want my hatsaf sir ... they want to be everywhere like you,non-hate,???? ??????? ???????? ???? ??????... ???? ???? ?? ?????????? ????... ??????? ?????? ????? ????? ??????? ???????????????
HATE_1733,"Like you, they are DGP to the State of Tea State.",non-hate,?? ????? ???? ??????? ?? DGP  ?? ??0?? ??????? ?????????? ????? ????? ????  ????????? ????????? ?????? ?????? ?? ??????   ?????? ???????
HATE_1734,Telangana people's lives are yours ..,hate,??????? ????? ????????? ????? ???? ????..?????? ??? ????????? ?????? ????????? ???? ?????? ??????? ?? ????.
HATE_1735,"This press meet to criticize them now. What or what else. This press meet fell out. How many days of Modi come and
Criticism of Modi. How many of you have been told.",hate,"??????? ????? ?? ??????????????  ? ?????? ????. ???? ?? ????. ????? ?? ?? ??? ? ?????? ????. ???? ????? ????? ??????? 
???? ??? ????????. ?????? ????? ??????? ???? ?????? ??????."
HATE_1736,Saar K Bayam Chicchukocchindi Anduke Peg esukoni Vachhi Loda Loda Notiki Vacchindi Vagutunnadu,hate,saar k bayam chicchukocchindi anduke peg esukoni vachhi loda loda notiki vacchindi vagutunnadu
HATE_1737,"Arey KCR SAAB You are in Santosham, okay, if you make a state of names again to become CM, you will see CM Ayyau",hate,Arey kcr saab ???? ??????? santosham ?? ??????? ????? ???? ???? ???? ????????? ???????? ???? ?????? ????? students ????? ???????? ?????? ?????? ???? ?????? ????????
HATE_1738,How many days do people cheat people with such words .... ?? It becomes 8years that he will do the Dalit Chief Minister ... When will it yet ????,hate,?????? ?????? ???? ????? ?????? ??????? ???? ????????....?? ???? ??????????? ?? ?????? ??? 8years ????????...???? ??????? ????????????
HATE_1739,"If you have no numbers for BJP, you can contest your daughter",hate,??????????? ?????????..?????? ?? ??????? ??? ???? ?????? ?? ?????? ?? ??????? ????? ???
HATE_1740,"Intaki Rahul Evadabba, Sir Indirect Ga Congress Rahul Gandhi Ki Hint istunda Kalsipodamani",non-hate,"Intaki Rahul evadabba, sir indirect ga Congress Rahul Gandhi ki hint istunda kalsipodamani"
HATE_1741,The movie is very nice I saw,non-hate,?????? ???? ??????? ???? ??????
HATE_1742,"Blockbuster Hit Aindhi Movie, Nikhil Saab Acting Excellent",non-hate,"blockbuster hit aindhi movie, nikhil saab acting excellent, bollywood lo already dhummu leputhondhi"
HATE_1743,Movie Lo Content Chala Bagundi Evvadu Apaledu Movie Ni Dilraju Kuda,non-hate,Movie lo content chala bagundi evvadu apaledu movie ni dilraju kuda
HATE_1744,Dil Raju cheedapurugu Tollywood ki. Tollywood Karan Johar Ee Dil Raju.Ravi Teja Krack Movie Ni Kuda Elane Tokkesadu,hate,Dil raju Cheedapurugu Tollywood ki. Tollywood Karan Johar ee Dil Raju.Ravi teja Krack movie ni kuda elane Tokkesadu
HATE_1745,Nikhil Annaki Ye Saport Lekunda Mass Hit Kottaadu Movie Maathram Super,non-hate,Nikhil annaki ye saport lekunda mass hit kottaadu movie maathram super
HATE_1746,Nikhil's 100% along with his fans and Pawan Kalyan's fans are also accompanied by Jai Power Star,non-hate,?????? ?????? 100% ??? ?????????? ???? ???? ??????? ???? ????????? ???? ?????? ???????  ?? ???? ??????
HATE_1747,"This should be a good lesson for youngsters. Moral is ""Winning in Life",non-hate,"This should be  a good lesson for youngsters.  Moral is "" ?????? ?? ???????? ???? ???????? ????????, ???? ???? ??????? ?????"""
HATE_1748,Karthikeya 2 Movie is Block Buster and Story oriented. Karthikeya 2 Movie Ki Screens Ivvakapote Next Nunchi Dilraju Movies Anni Boycott Cheyyali.,hate,Karthikeya 2 movie is block buster and story oriented . Karthikeya 2 movie ki screens ivvakapote next nunchi Dilraju movies Anni boycott cheyyali.
HATE_1749,Dhil Raju Manchi Cinemal Ki Alaane Chesthaadu. Last time krack movie ki alaa chesaadu. Appudu Krack Yegisi Yegisi Thannindhi. Eppudu Karthikeya2 Dhorlinchi Dhorlinchi Thannuthundhi. So Anni Musukoni Manchi Movies Ni Encourage Cheyyi ...,hate,Dhil raju manchi cinemal ki alaane chesthaadu. Last time krack movie ki alaa chesaadu. Appudu Krack yegisi yegisi thannindhi. Eppudu karthikeya2 dhorlinchi dhorlinchi thannuthundhi. So anni musukoni manchi movies ni encourage cheyyi...
HATE_1750,Dil Raju Gadu Dil Raju Gadu Thief My son has stopped a good movie.,hate,???? ???? ???????? ???? ???? ???? ???? ???? ?? ?????? ?? ???? ???????? ??????? ???? ???? ???? ???? ????? ??? ????????? ????????? 2 ???????? ???? ?????????? ???????? ???? ????? ?????? ?????? ?????? ??? ??????
HATE_1751,Nikhil Ni Support Chyyandi Manchi Manchi Scripts Meeda Work Chstnnaru,non-hate,Nikhil ni support chyyandi manchi manchi scripts meeda work chstnnaru
HATE_1752,Dil Raju Cinema Ban Chestam From Degree College Group Students And Antha Tamil Rockers,hate,"Dil raju cinema ban chestam from degree college group students and antha tamil rockers, paniki malina rajuga"
HATE_1753,Dilraj pani aiepoedi enka salav enka anni rojulu bye bye ankul,hate,Dilraj pani aiepoedi enka selav enka anni rojulu bye bye Ankul 
HATE_1754,This is a movie that must be seen by every Hindu wow movie,non-hate,???? ???? ??????? wow ????? ??????? ????? ????????? ???? ???
HATE_1755,Thank you for supporting the little heroes that even the little heroes who have given a good message through this video are not a big buddy.,non-hate,? ?????? ?????? ???? ?????????? ???????? ???? ????? ?????? ???? ???????? ???????? ????? ?????????????? ????? ????? ?????? ???? ?????? ?????????? ??????? ?????????? ??????????
HATE_1756,Nuvvu Nijamgaa Nippu .... The Voice Of Truth Anipinchaav Thammi,non-hate,Nuvvu nijamgaa nippu ....the voice of truth anipinchaav thammi
HATE_1757,Dil Raj Fur,hate,??? ???? ???? ??????????????? ??? ????? ??? ?????????? ?? ?????? ??????
HATE_1758,The practitioner will not stand up to the rich of all kinds of rich,non-hate,????????? ?? ???? ??????  ?????????? ????? ???????????? ??? ??????? ? ?????? ?????????? ???? ?????????? ???? ??????
HATE_1759,If you really hear your words about Tarak's 'Tarak',non-hate,?????? ?? ???? ??????????? ?????  ???? ???????  ?? ????? ????????
HATE_1760,Harikrishna Garu did not speak very well .. Cm.,non-hate,???? ???? ??????  ????????? ????????  ????.. CM ??  ????????  ???? ??????.
HATE_1761,NTR Real Life is also a very intelligent man.,non-hate,???????? ????? ???? ?? ???? ???? ??????????? ???? ????  ???????? ???? ????????? ?? ???? ????? ???? ????? ???????? ?? ????
HATE_1762,Anyone who exceeds NTR Tiger in acting seems to be in the country in film industry.,non-hate,????????? acting ?? NTR tiger ??  ???????????? ?????? film industry ?? ?????????? ????????????.
HATE_1763,Evala Takkuva Theatres SE .. Repu Chudu ... Double Avtay ... Mamuluga Ledu Movie ... Next Level ... Gopichand Sahasam Movie Reference Undi,non-hate,Evala takkuva theatres se.. Repu chudu... double avtay... mamuluga ledu movie...next level... Gopichand sahasam movie reference undi
HATE_1764,Nandamuri will be honest when they are honest fans,non-hate,??????? ???? ??????? ???????????? ??????? ????????? ??????????????? ???????????
HATE_1765,The great man who resigned from the post of minister about Telangana .. Komatireddy,non-hate,???????? ??????? ?????  ?? ?????? ?????? ???????? ????? ????? ?????.. ???????????
HATE_1766,Why SIR is exhausted to the wedding !!! Leave SIR. Both of them are fun to entertain people,non-hate,?????? sir ???????? ???????? ??????!!! ????????? sir. ?????? ??? ??????????? ?????? ?????? ?????????? sir
