S.No,Comments,Label,
HATE_1720,ఇండియాలో బెస్ట్ లీడర్ కె ఏ పాల్ ఆయన మాటల్లోనే ఉంది నిజాయితీ జై కె ఏ పాల్,non-hate,
HATE_1721,అన్యాయమా ఆముదామా అవన్నీ చేతకాని వాళ్లు మాట్లాడే మాటలు ఇక్కడ బుర్ర ఉన్నోడు జుర్రుకుంటాడు,hate,
HATE_1722,మహేష్ అన్న కామెడీ టైమింగ్ సూపర్.. జై మహేష్ అన్నయ్య..,non-hate,
HATE_1723,Eppatiki oka 200 times chusa kavacchu ee scene kani prathisari adhe feel adhe goosebumps Raviteja acting ki aa voice lo base ki Rajamouli direction ni dominate chesina one and only hero MASS MAHARAJA ,non-hate,
HATE_1724,Nijamga chala natural comedy idi Venu Madhav gaari acting super ,non-hate,
HATE_1725,Venu Madhav lanti comedy evaru ceyyaru I am very very missing Venu Madha,non-hate,
HATE_1726,ఎక్కడ దొరికిందయ్య సామి భలే పోచమ్మ బాగా ఆడింది బాగా ఆక్ట్ చేసింది,non-hate,
HATE_1727,"శుభాకాంక్షలు సర్, మీ సినిమాకు ప్రేక్షకులు అన్నిచోట్లా బ్రహ్మరధం పడుతున్నట్లు తెలుస్తోంది",non-hate,
HATE_1728,మీరు స్త్రీల ను తల్లి అని  గౌరవించే మీ ప్రవర్తనకు   పాదాభివందనం,non-hate,
HATE_1729,మీలాంటి వారు వుంటే ఆడపిల్లలకు చాలా ధర్మం జరుగుతుంది సార్,non-hate,
HATE_1730,భరతమాత ముద్దుబిడ్డ అంటే మీరే సార్ ఇలాంటి వారికి శతకోటి వందనాలు.,non-hate,
HATE_1731,పోలీస్ వేవస్థలో మీలాంటి SP లు ఉంటే పోలీస్ లపై  గౌరవం పెరుగుతుంది సార్...మీలాంటి SP మా తెలంగాణా లో కూడా రావాలి సార్,non-hate,
HATE_1732,నాకు పెద్దగా పోలీస్లూ అంటే నచ్చరు... కానీ మీకూ నా హ్యాట్సాఫ్ సార్... మీలాంటి వాళ్లు అన్ని చోట్ల ఉండాలని కోరుకుంటున్నాను,non-hate,
HATE_1733,మీ లాంటి వారు స్టేట్‌ కు DGP  గా వు0టీ స్టేట్‌ బాగుంటుంది సార్‌ అయినా మీకు  మిమ్మల్ని కన్నతల్లి తండ్రి గారికీ నా శతకోటి   పాదాబి వందనాలు,non-hate,
HATE_1734,తెలంగాణ ప్రజల ప్రాణాలతో ఓచినా పదవి నీది..నువ్వు ఎదో చేస్తావని నిన్ను గెలిపించం కానీ నువ్వు చేసింది ఏం లేదు.,hate,
HATE_1735,"ఇప్పుడు వాళ్ల ను విమర్శిండానికి  ఈ ప్రెస్ మీట్. ఇంకా ఏం లేదా. వాళ్ల కు బయ పడి ఈ ప్రెస్ మీట్. మోడీ వచ్చి ఎన్ని రోజులకు 
మోడీ పైన విమర్శలు. నువ్వు ఎన్ని చెప్పిన వినే రోజులు పోయాయి.",hate,
HATE_1736,saar k bayam chicchukocchindi anduke peg esukoni vachhi loda loda notiki vacchindi vagutunnadu,hate,
HATE_1737,Arey kcr saab మీరు పెద్దగా santosham లో ఉన్నారు సరేనా ఒక్క సారి సీఎం కావడానికి రాష్ట్రం పేరు చెప్పి మళ్ళీ students ప్రాణ త్యాగాలు చేస్తే నువ్వు సీఎం అయ్యహు తెలుసుకో,hate,
HATE_1738,ఇలాంటి మాటలతో ఇంకా ఎన్ని రోజులు ప్రజలను మోసం చేస్తారు....?? దళిత ముఖ్యమంత్రి ని చేస్తా అని 8years అవుతుంది...ఇంకా ఎప్పుడు చేస్తారు????,hate,
HATE_1739,దిక్కుమాలిన ప్రభుత్వం..బీజేపీ కి నంబర్స్ లేక పోతే నువ్వు నీ కూతురో నో పోటీచేయ వచ్చు కదా,hate,
HATE_1740,"Intaki Rahul evadabba, sir indirect ga Congress Rahul Gandhi ki hint istunda kalsipodamani",non-hate,
HATE_1741,సినిమా చాలా బాగుంది నేను చూశాను,non-hate,
HATE_1742,"blockbuster hit aindhi movie, nikhil saab acting excellent, bollywood lo already dhummu leputhondhi",non-hate,
HATE_1743,Movie lo content chala bagundi evvadu apaledu movie ni dilraju kuda,non-hate,
HATE_1744,Dil raju Cheedapurugu Tollywood ki. Tollywood Karan Johar ee Dil Raju.Ravi teja Krack movie ni kuda elane Tokkesadu,hate,
HATE_1745,Nikhil annaki ye saport lekunda mass hit kottaadu movie maathram super,non-hate,
HATE_1746,నిఖిల్ గారికి 100% ఆయన అభిమానులతో పాటు పవన్ కళ్యాణ్ గారి అభిమానులు కూడా తోడుగా ఉన్నారు  జై పవర్ స్టార్,non-hate,
HATE_1747,"This should be  a good lesson for youngsters.  Moral is "" జీవితం లో గెలుపుకి బందు మిత్రులు ఎక్క్కువ, కాని ఓటమి ఎప్పుడు అనాదే""",non-hate,
HATE_1748,Karthikeya 2 movie is block buster and story oriented . Karthikeya 2 movie ki screens ivvakapote next nunchi Dilraju movies Anni boycott cheyyali.,hate,
HATE_1749,Dhil raju manchi cinemal ki alaane chesthaadu. Last time krack movie ki alaa chesaadu. Appudu Krack yegisi yegisi thannindhi. Eppudu karthikeya2 dhorlinchi dhorlinchi thannuthundhi. So anni musukoni manchi movies ni encourage cheyyi...,hate,
HATE_1750,చాలా బాగా చెప్పారు అన్న దిల్ రాజు గాడు దొంగ నా కొడుకు ఒక మంచి సినిమాని ఆపేశారు కదరా దిల్ రాజు గాడు అయినా ఏమి పర్వాలేదు కార్తికేయ 2 సినిమాకి మంచి రెస్పాన్స్ వస్తుంది మూవీ సూపర్ బ్లాక్ బస్టర్ సెకండ్ టైం చూస్తా,hate,
HATE_1751,Nikhil ni support chyyandi manchi manchi scripts meeda work chstnnaru,non-hate,
HATE_1752,"Dil raju cinema ban chestam from degree college group students and antha tamil rockers, paniki malina rajuga",hate,
HATE_1753,Dilraj pani aiepoedi enka selav enka anni rojulu bye bye Ankul ,hate,
HATE_1754,మూవీ చాలా భాగుంధీ wow ప్రతి హిందువు తప్పక చూడాల్సిన మూవీ ఇది,non-hate,
HATE_1755,ఈ వీడియో ద్వారా మంచి సందేశాన్ని చెప్పారు అన్న చిన్న హీరోలు కూడా అవకాశాలు ఇవ్వాలని బడాలే పెద్దపుడింగులు కాదని చిన్న హీరోలు కూడా అవకాశం ఇచ్చేందుకు సపోర్ట్ చేసినందుకు ధన్యవాదాలు,non-hate,
HATE_1756,Nuvvu nijamgaa nippu ....the voice of truth anipinchaav thammi,non-hate,
HATE_1757,అంత దిల్ రాజ్ బొచ్చుకుకావాలనే ఇంత వెనుక పడి పోతున్నాము మన తెలుగు సినిమా,hate,
HATE_1758,స్వభుద్ది దూ రంగా పెట్టీ  పరులమాటలకు లొంగీ విలువిస్తాడు కాన సాధకుడు గ నిలిచి అన్నివిధాల రిచ్ ముమ్మాటికి కానే కాలేడు,non-hate,
HATE_1759,నిజంగా నా మనసు కలచివేసింది తారక్  అన్న గురించి  మీ మాటలు వింటుంటే,non-hate,
HATE_1760,చాలా బాగా మంచిగా  మాట్లాడరు హరికృష్ణ  గారూ.. CM గా  వచ్చింటే  బాగా ఉండేది.,non-hate,
HATE_1761,ఎన్టీఆర్ రియల్ లైఫ్ గా కూడా చాలా తెలివైనవాడు మంచి వాక్  చాతుర్యం ఉంది పొలిటికల్ లో కూడా సత్తా చాటే దమ్ము ఎన్టీఆర్ కి ఉంది,non-hate,
HATE_1762,ఎవరేమన్నా acting లో NTR tiger ను  మించినవాళ్లు దేశంలో film industry లో ఎవరూలేరేమో అనిపిస్తుంది.,non-hate,
HATE_1763,Evala takkuva theatres se.. Repu chudu... double avtay... mamuluga ledu movie...next level... Gopichand sahasam movie reference undi,non-hate,
HATE_1764,నందమూరి వారు ఎప్పుడు నిజాయితీగానే వుంటారు అభిమానులు బాగాచుసుకుంటారు గౌరవిస్తారు,non-hate,
HATE_1765,తెలంగాణా గురించి మొదటి  గా మంత్రి పదవికి రాజీనామా చేసిన గొప్ప మనిషి.. కోమటిరెడ్డి,non-hate,
HATE_1766,ఎందుకు sir అయిపోయిన పెళ్లికి మేళాలు!!! వదిలేయండి sir. ఇద్దరూ ఇలా తిట్టుకోవడం జనాలకి వినోదం అయిపోయింది sir,non-hate,
HATE_1767,నూటికో కోటికో ఎక్కడో ఎప్పుడో పుడతారు అది నువ్వే నువ్వే మాస్టారు మా దేవుడు నీవే మాస్టారు మా రాకేష్ మాస్టారు.. అని అన్న దా. మీ లక్ష్మి అమ్మ గారు. అమ్మ అమ్మ అంటూ గెంతు లు వేశారు. అమ్మ చేతి వంట అమృతం అన్నారు ఇప్పుడు అమ్మ ఏమైంది మాస్టర్ జి.మాయం అయిందా అనాధ శరనా లయం ఆశ్రయం అయ్యింద. సేవ పేరు తో డాన్స్ లు వేయండి సార్ ఏమిటో ఈ మాయ తెలియ కున్నాదయ. ఏడుకొండలు స్వామీ,non-hate,
HATE_1768,సబితా ఇంద్రా రెడ్డికి నిజం గా అంత విలువ ఇచ్చినా పార్టీ మారడం నిజంగా నన్ను షాక్ కు గురిచేసింది.. కాంగ్రెస్ ని అందరూ మోసం చేశారు.. ఏదోఒక రోజు తగిన గుణపాఠం చెబుతారు ప్రజలే..!!,hate,
HATE_1769,ప్రజల తరపున ఇంత సుదీర్ఘ పోరాటం చేసి తాను గెలిచి మమ్మల్ని గెలిపించిన దిలీప్ సుంకర గారికి హృదయ పూర్వక శుభాకాంక్షలు...జై భీమ్ ...జై భారత్...,non-hate,
HATE_1770,ilanti panikamalina vallanu interviews cheyakandi plz,hate,
HATE_1771,అసలు వీళ్లకు విచ్చలవిడిగా ఖర్చు పెట్టడానికి ఇన్ని డబ్బులు ఎలా వస్తాయో?,hate,
HATE_1772,Ilaa sollu cheppi kaanichestunnadu..,hate,
HATE_1773,Mottanaki neeku correct mogudu badaleswari ya,hate,
HATE_1774,Komatreddy Garu Telangana kosam Padavini rajinama chesi Niraahaara deeksha chesina Leadrs lo okkaru...Every one respects him,non-hate,
HATE_1775,"రఘునందన్ గారికి మంచి భవిష్యత్ ఉండాలి అని కోరుకుంటున్నా. ఇంటర్వ్యూ చాలా బాగుంది, ఫస్ట్ టైమ్ RK గారు బాగా మాట్లాడారు",non-hate,
HATE_1776,open heart with RK interview లలో  ఇప్పటివరకు చేసిన వాటిలో the Best ఇది. రఘునందన్ గారు స్పష్టంగా ఉన్నారు.,non-hate,
HATE_1777,"RK garu... Mee questioning bagundhi. But CM ni or Central Minister ni adagalsina questions aduguthunnaru. Overall it's a very good discussion.  My Vakheel Saab thopu, ayana maata muchata vignaanam chaala superb.  Way to go my MLA",non-hate,
HATE_1778,నాది శ్రీకాకులం జిల్లా.. కానీ రఘు అన్న వాగ్దాటికి అభిమానిని.. సంపూర్ణ మైన అవగాహన కలిగిన నాయకుడు..,non-hate,
HATE_1779,మంచి వాగ్ధాటి మంచి  నాయకత్వ లక్షణాలు ఉన్న మనసున్న నాయకుడు మా రఘు అన్న. జై భీమ్ జై భారత్,non-hate,
HATE_1780,చేసిన తప్పు కీ పశ్చాత్తాపం పడేవాడిని దేవుడు కచ్చితంగా  క్షమిస్తాడు,non-hate,
HATE_1781,Ycp లో నువ్వు చేసిన ఎదవ పని కి పార్టీ నుండి సస్పెండ్ చేసారు... అక్కడ తంతే ఇక్కడ పడ్డావ్,hate,
HATE_1782,నిన్ను పిలిచి మరి పవిత్రమైన పదవి ఒకటి ఇస్తే ... వెనుక నుండి పట్టుకుంటా .. నువ్వు ఒంగో నేను పైకి ఎక్కుతా అని నచ్చినట్టు వాగితే ఎవడు ఊరుకుంటాడు రా .. ..,hate,
HATE_1783,కొంచం  కుడా    సిగ్గు లేకుండా ఇంతా ధర్యం  గా సమాధానం చెప్పే మనిషిని  ఇప్పుడే చూస్తున్నాం ఒక్కో ప్రశ్న రాడ్ దింపినట్లు అడిగారు RK గారు సూపర్ ,hate,
HATE_1784,క్షవరం అయితే గానీ వివరం తెలియదు లెండి.... పృధ్వీ గారు,non-hate,
HATE_1785,చాలా సంతోషం  తప్పుని తెలుసుకొని  స్వచ్ఛమైన మనసు తో మాట్లాడుతున్నారు... మంచి  మార్పు.,non-hate,
HATE_1786,"ఎవడో గట్టిగా కొట్టాడేమో ""వెనుక"" నుండి.దెబ్బకి పోయిన మతి తిరిగొచ్చింది..ఏదైతేనే మీకు మళ్ళీ మంచి రోజులు రావాలి బాబాయ్..",hate,
HATE_1787,"ఆపరా.... నువ్వు ఒక అమ్మాయి తో నీచంగా వ్యవహరించి, వెనక నుంచి గట్టిగా పట్టుకుందా మనుకున్నా అని నీ character lose చేసుకున్నావ్... ఎవడెం చేస్తాడు?",hate,
HATE_1788,అన్న నువ్వు ఇదే fire తో continue అవ్వు. ఈ fake Youtubers and Travellers ని అంతం చెయ్యాలి. వీళ్ళ వల్ల ఎంతో మంది Unique content క్రియేటర్స్ కనుమరుగవుతున్నారు. You just keep going bro,non-hate,
HATE_1789,"నిజాన్ని నిజాయితీగా నిరూపించడం చాలా కష్టం అది నిజాయితీగా ఉన్నవాడికే సాధ్యం నీలో ఆ సత్తా ఉంది, నిజాయితీ ఉంది",non-hate,
HATE_1790,ఈ యాం కరు గారు  ఎంత బాగుంటారో చెప్పనలవి కాదు.  నాకు ఎంతో గౌరవము ఇష్టము; ఈమె ఇంకా ఇంకా కనిపించాలని నాకు ఆశ,non-hate,
HATE_1791,"రాజ శేఖర్ రెడ్డేమీ ప్రజాక్షేమం కోరే గొప్ప మనసున్న మనిషి కాదు. ఆయన “మహా మేత” అయితే, ఆయన కొడుకు జగన్ తండ్రిని మించిన “మహా మహా మేత”.",non-hate,
HATE_1792,జగన్మోహన్ రెడ్డి వల్ల పిల్లలు బాగా చూసుకున్నాడు అని యాంకర్ వాగు తోంది వాళ్ళ పిల్లల్ని కాక నీ పిల్లలు బాగా చూసుకుంటారు,hate,
HATE_1793,"మీ ఇద్దరికి దేవుడు సంస్కారం ఇచ్చిన ఉపయోగించడము లేదు ఏమైంది మీకు,  అలాగే జర్నలిజం తో పాటు అబద్దాలు చెప్పడము కూడా బాగా నెర్చారు. అన్ని దగ్గరుండి విన్నట్లు చెపుతున్నారు. చీ చీ చీ",hate,
HATE_1794,"Thq sir,challa chakagaa chayparuu...",non-hate,
HATE_1795,"Krishnarao garu 2007 episode marichipoyara, viveka resighnation kcr bypole time enduku e dabba kaburulu",hate,
HATE_1796,",waste interview vunnappudu oka maata lenappudu okamata",hate,
HATE_1797,"Kvp ki telusu jagan wtlanti vaado, anduke doiram jarigaadu,  karma emitante ap prajalake teliyatam ledu",hate,
HATE_1798,"Jagan ni poguthunnava, leka mingutunnava...indirect ga jagan secret lu ani cheptunnav.",hate,
HATE_1799,"మీరు చాలా అదృష్టం వంతులు మీకు దేవుడు మంచి అన్నను, తమ్ముడు ను ఇచ్చారు.",non-hate,
HATE_1800,సార్ నాగబాబు గారు మీరు మీ ఆర్థిక పరిస్థితి గురించి ఆలోచిస్తున్నారు అందులోని సాంగ్స్ నా జీవితాన్ని ఒక స్వర్గం లా మార్చాయి సార్ సూపర్ హిట్ సినిమా సర్ ఆరెంజ్ ఇప్పటివరకు నేను ఆ సాంగ్స్ వింటున్నాను మీ వల్ల సూపర్ సూపర్ నాగబాబు సార్ ఈ సినిమా నాకు ఫ్లాప్ కాదు హిట్టు,non-hate,
HATE_1801,ఆరెంజ్ సూపర్ మూవీ ..ఈ..రోజులో...సూపర్ హిట్ అయ్యేది...నాకు..చాల ఇష్టం..ఆరెంజ్ మూవీ,non-hate,
HATE_1802,పవన్ కళ్యాన్ గారు చిరంజీవి గారు పెర్సనల్ లైఫ్ కూడా గ్రేట్ నాగబాబు ని సేవ్ చేసారు స్వార్థం కొంత విడనాడి,non-hate,
HATE_1803,ఓపెన్ హార్ట్ విత్ ఆర్కేఇంటర్వ్యూ అంటే మనసులో ఉన్నది బైటకి తీయాలి అనే ఉదేసం ... నిజాలు నిప్పు లాంటివి .. చాలా థాంక్స్ సార్ మేవల్ల చాలా విషయాలు నేర్చుకుంటున్న ...,non-hate,
HATE_1804,"RK గారు మీకు, మీ టీం కి దన్యవాదాలు, సుతి మెత్తగా ప్రశ్నలు వర్ణించారు  అహంకారికి ...అహంకారం కాస్త తగ్గినట్లు అనిపిస్తొంది",non-hate,
HATE_1805,బ్రదర్ ల గురించి మీరు బాగా చెప్పారు ego లేకుండా చెప్పారు,non-hate,
HATE_1806,సార్ కెసిఆర్ గారు విషయాలను పూసగుచ్చినట్లు చెప్తున్నారు మాధవ రెడ్డి నయీమ్ ల సంబంధించిన వివరంగా మాట్లాడడానికి ఇబ్బంది పడుతున్నారు మీరు కూడా హండ్రెడ్ పర్సెంట్  ఫేక్,hate,
HATE_1807,దిలీప్ చందర్ సార్ గారు మిరు ప్రతివిషయాన్ని వక్రీకరించి చెప్తున్నారు మీరు చెప్తున్నా మాటల్లో కొన్ని అబద్దాలు కొట్టొచ్చినట్టు కనపడుతున్నాయి,hate,
HATE_1808,మోహన్ బాబు గారు కొన్ని ప్రశ్నలకు సమాధానం చెప్పలేక బిక్కమొహం వేశాడు. నీళ్లు నములుతున్నాడు,hate,
HATE_1809,నాయకురాలు సినిమా నుండి నేను నాగబాబు అభిమానిని. మెగా బ్రదర్స్ అంటే చాలా ఇష్టం. గొప్ప అన్నదమ్ములు,non-hate,
HATE_1810,రజినీకాంత్ గారితో open heart program చూడాలని ఉంది.,non-hate,
HATE_1811,"Love U Mohan Sir, మన బతేనయ్యకోన సాక్షిగా మీరు కాక ఇంక ఎవరు సినీ కళామ తల్లీ కి నిజమైన నీరాజనం పట్టే కళామ తల్లి ముద్దుబిడ్డ మీరే",non-hate,
HATE_1812,"Minority ayithe vadhileyaala , vaallemayina Nawab laa , vaallakemayina kommulu molachaaya , vaallemayina swargam lonchi oodipaddaara , minorities ki ee special treatment endhiraa",hate,
HATE_1813,Note this point.. minorities kabatti vadileyandi... Ranakeeyanakula ilanti appeasements Valle ivaala minorities jaripe dhamana Kanda lo majority people Bali avtunnaru..,hate,
HATE_1814,absconding ....nayeem and madhav reddy relation gurinchi prathi mata fake cheputhunnadu... telusu kani abadham  cheputhunnadu...,hate,
HATE_1815,"Paritala nu nuvve sampinavu raa nennu gaali, vaana devudu sampeedu",hate,
HATE_1816,"Assaminchani suryudu ma paritala ravanna, champi chindhi nuvu nikodukey, andukey ni maranam uhathitham.",hate,
HATE_1817,Niku sambhamdam leda anduke ni shavam kuda dorakakunda chesadu god,hate,
HATE_1818,Mahanu baava ela kannavayya ee Basmasurani,hate,
HATE_1819,"Arey ysr garu Mee కిరాతక కుమారుడు jaggu హస్తం 100 పర్సెంట్ ఉంది. సీన్ అయిపోయింది immediately Bangalore jump అండ్ అక్కడ సెక్యూరిటీ  సిబ్బంది హడావిడి కూడా జరిగింది అంతా afternoon 2-30 pm to 4-45pm Kalla bellary nundi escape ani telusu. Akkada aa హడావిడి situation lo కొందరు  jaggu body guards and securities హఠాత్తుగా , కంగారుగా అక్కడి ట్రాఫిక్ లో struck aie , chala problem tho duty ki reach అయ్యారంట.",hate,
HATE_1820,Evaru adigaruu raaaaaaaa ninnu,hate,
HATE_1821,పరిటాల రవి అన్న పేరు వింటేనే ఏదో తెలియని  పులకరింత మన శరీరం లో....జయహో పరిటాల...... మనిషి పుట్టుక 100 సంవత్సరము   లు అవసరం లేదు....అన్న లా ఒక్క రోజు చాలు..,non-hate,
HATE_1822,విలువలు తెలిసిన మనిషి విలువైన మనిషి ...,non-hate,
HATE_1823,Rayalaseema simham paritala Ravi telugurashtrala devudu NTR but family members of both have utterly failed to carry the legacy of these both in their respective range and categories,hate,
HATE_1824,అనంతపురం లో పుట్టినందుకు గర్వంగా వుంది నాది తాడిపత్రి నియోజకవర్గం శ్రీరామ్ అన్నకు ఓటు వేసే అవకాశం లేనందుకు బాధగా వుంది. జై పరిటాల,non-hate,
HATE_1825,పరుచూరి గోపాల కృష్ణ గారి కి నమస్తే మిమ్ములను మొదటిసారి భార్గవ రాముడి సినిమాలో చూసాను సూపర్ వెరైటీ యాక్షన్ సార్,non-hate,
HATE_1826,పరిటాల శ్రీరాములు భూస్వాములు భూములు పేదలకు ఇచ్చేయాలి అని బలవంతం చెయ్యటం తప్పు సర్ డబ్బెవరికి చేదు ఇస్తే నీ భూములు ఇచ్చుకో అంతేగాని బలవంతం గా లాక్కోవాలి అనుకోవటం తప్పు అందుకే చచ్చాడు ...ఇక పరిటాల రవి ఒక రౌడీ అలాటివాడి గురించి మీరు చెప్పటం అంటే కులగజ్జి కాకా ఏమిటి ది సర్ బుజం మీద కమ్యూనిస్ట్ కండువా వేసుకుని కాస్ట్ ఫీలింగ్ చూపిస్తున్నారు పరిటాల రవి అనేవాడు కూడా కమ్యూనిస్ట్ రూపం లో ఉన్న ఒక రౌడీ అంటే నయీమ్ కి పరిటాల రవి కి తేడా ఏమి ,hate,
HATE_1827,Johar ravanna Ilanti lavada politics ki meelanti powerful leaders asalu unte ... Okkokadu darilo undevadu,hate,
HATE_1828,Bro mee ANCHOING chala chal chala decent gaa untundhi,non-hate,
HATE_1829,నీకు అసమంటి అన్న తమ్ముడు ఉండటం చాలా చాలా అదృష్టవంతుడివి అన్న.,non-hate,
HATE_1830,Ravi anna oudi ounte nani vamsi anil kumar ambanti lanti vaalu noru lepevaru kaademo,hate,
HATE_1831,దేనివల్లనష్టపోయడంటే(ఆరెంజ్ )సినిమావల్ల తరువాతపవన్కళ్యాణ్ save చేసాడు,non-hate,
HATE_1832,mohan babu oppukunna oppukokapoyina chiranjeevi peddankanni vachchina gouravam m taggipodu,hate,
HATE_1833,చిరంజీవి గారు  ఇష్టం లేనప్పుడు  ఆయనతో  ఎందుకు వాయ్స్  ఓవర్ ఎందుకు చేయుంచుకున్నారు మీ సినిమాలో.,hate,
HATE_1834,Maa nagababu Garu is great person devudu eppudu meethone vuntaru sir,non-hate,
HATE_1835,Chala baga cheparu . nagababu sir help chesena chepukoru .meru brothers kosam baga cheparu,non-hate,
HATE_1836,"Rajakeeyam lo nenu miku full opposite kani, miru mee brothers gurinchi chepthunte na kallu chemarchayi nagababu garu, really love you",non-hate,
HATE_1837,రాజకీయాలు ఏమో గాన)ఇలాగే ఎప్పుడూ  వు౦డాలని ఆసిస్తున్నా,non-hate,
HATE_1838,వాళ్ళు వాళ్ళు బానే వుంటారు మధ్యలో ఫాన్స్ చావకండి రా మీ అమ్మ నాన్న కోసం చావండి ok,non-hate,
HATE_1839,RK Garu neku interview cheyadam rakapoty miskuni veray vallaku chance evvandi niku respect evvadam teledu,hate,
HATE_1840,Papam suri ki chala badha vundemo anduke ane sarlu attack chesadu,hate,
HATE_1841,Sethamma vakitlo serimalle chettu  nenu 9th  lo unnappudu vachindhi nen 9times chusna ade the best  movie Nadi,non-hate,
HATE_1842,Anduke meeku devudu jabardasth show iccharu varun tej ki anni hits iccharu,non-hate,
HATE_1843,Orange movie Epatiki chusina kothaga untadhi ....ndhuko thelidhu i love to watch dat movie,non-hate,
HATE_1844,Guruvu garini kalavalekapoyanu ane Chinna baada kakapothe Aayana puttina roje Nenu puttanu naku adoka santhosham Dasari garu vunte ey MAA Elections Kani kotha talent vunnavalani kani Gurthinchi Avakaasham ichevaalu,non-hate,
HATE_1845,Guruji meeku evvaru saatiraaru Johar Dasari gaaru,non-hate,
HATE_1846,Dnr sampadinchalani anukunte today ciniema field lo ewaru sariporu mahanubavudu daring man,non-hate,
HATE_1847,"Manchi manasu, havabhavalu  ela kavalante  ala palikinche, kalamathalli  mudhuu  bidaalu druvatharalu nela  ralaru andhulo  oka mudhuu bidaa  dhasari  garu",non-hate,
HATE_1848,Cinima vallu mottam e  episode chusi aena buddi techukondi tickets rates vishayam lo,hate,
HATE_1849,DNR still old school...  Kalam tho Marakapote evaru aina kala gharbham lo kalisipotaru.,hate,
HATE_1850,Na guruv gariki padabhi vandananalu,non-hate,
HATE_1851,ఒరేయ్ రాధాకృష్ణ ముందు ఎవరిని అయినా ఏ ఊరు ఎక్కడినుండి వచ్చారు అడిగాలి రా,hate,
HATE_1852,Ni bondha ra  NTR records badhalu kottava..!?,hate,
HATE_1853,Marri nevvu am I pekavu,hate,
HATE_1854,దాసరి నారాయణ అనే టైటిల్ ఏంటి ఆర్కే దాసరి నారాయణ రావు అని టైటిల్ పెట్టు ఇక్కడ కూడా నీ బుద్ధి చూపిస్తున్నావు,hate,
HATE_1855,Rk గాడు బాధ పడుతున్నాడు.  లోపల ఎందుకంటే దాసరి కమ్మ కాదు గా,hate,
HATE_1856,"ఇలాంటి వారు మా కన్నడ గొప్ప నటుడు డా రాజకుమార్ జొతులొ ఒక్క సినిమా ఐతె చేసి ఉంటే,,,!!!!",non-hate,
HATE_1857,అనిల్ కుమార్ గారిది తప్పలేదు కానీ ఇలాంటి సమస్యలు కూడా  రాష్ట్రంలో ఉన్నాయి అని బాగా తెలియజేసారు.,non-hate,
HATE_1858,Reel Life lo jaruguthay anukunnam రియల్ లైఫ్ కుడా జరుగుతాయని ఎప్పుడు తెలిసిందే సూపర్,non-hate,
HATE_1859,పక్కవాడు గొప్పవాడు ఐతే ఇలాంటి ఎడ్చుకునేవాల్లు ఎల్లప్పుడూ ఎడ్చుకునే వుంటారు.,hate,
HATE_1860,ఇటువంటి ఫేక్ కాల్స్ చాలామంది చేస్తూ ఉంటారు ఎవరు నెంబర్ చెప్పి ఇబ్బంది పెడుతుంటారు ఇటువంటి వాళ్ళకు పైన కేసు పెట్టి లోపట పడేవ్వాలి సార్ అనిల్ కుమార్ యాదవ్ గారు ఎమ్మెల్యే దేనికి తగ్గాల్సిన అవసరం లేదు వాళ్ళు ఎవరో చూసి వాళ్ళ పైన కఠిన చర్యలు తీసుకోవాలి అప్పుడే నీ పైన ఉన్న మచ్చ తోలుతుంది సార్,non-hate,
HATE_1861,ఎంత క్లారిటీగా ఇంత వివరంగా చెప్పేవాడు ఎవరూ లేరు .100% కరెక్ట్ గా చెప్పారు,non-hate,
HATE_1862,వర్మ గారు చెప్పింది 100 శాతం నిజం. పరిశ్రమలో జరిగేది వేరు... మనదాకా వచ్చే విషయం వేరు. రాంగోపాల్ వర్మ గారు సామాన్యుడికి అర్ధమయ్యేలా అన్ని చాలా బాగా చెప్పారు.,non-hate,
HATE_1863,mallanna tappudu darlo vellaku. oka melu jarigetappudu konni vishayalu oppukovali. mana paruvu Manam teesukundam entavaraku correct.  Kcr bathroom biryani gurinchi telisi kuda chala mandi peddalu niraharadeeksha ni munduku techaru kada . jarige melu telusuko.adi andariki manchidi,hate,
HATE_1864,Ambedkar gari gopathanam gurinchi chepaka ne carector nachindhi mallana good,non-hate,
HATE_1865,Antha vadaina kani awaru aina sare antha dabbu una time osthe anthe only good karma can help you in delaying things anthe,non-hate,
HATE_1866,అవసరాల కోసం దారులు తొక్కే పాత్రలు అనే దానికి ఉదాహరణ ఈమె జీవితం,hate,
HATE_1867,నువ్వు మహా పతివ్రత వి. అందుకే అన్న గారి కుటుంబాన్ని ఇంతల వీధి లో పెట్టావు. Same నీ లాగే ఆ ఇంటికి వచ్చిన ఇల్లాలు హరికృష్ణ రెండో భార్య shalini ఈ రోజుకి కూడా NTR ఫ్యామిలీ గురించి ఒక్క ఇంటర్వ్యూ కూడా ఇవ్వ లేదు ఆ మహా ఇల్లాలు Jr.NTR తల్లి గారు. ఆవిడ చేతులు ఎత్తి నమస్కారం చేసే అర్హత గల ఆవిడ,hate,
HATE_1868,దేవుడు మీద ప్రమాణం చేసి అంతా నిజం చెపుతా.మాయ లేడివి. మహమ్మారివి.,hate,
HATE_1869,NTR గారి జీవిత చరిత్ర రాస్తా అని చెప్పి ఆయన జీవితాన్నే మార్చేసావ్ కదే తల్లి  Bad చాప్టర్ ఇన్ NTR లైఫ్.,hate,
